ID,GENERO,EDAD,N,AC_Z,ACTIVIDAD
22,0,1,12,8.71148681640625,1
22,0,1,13,8.567840576171875,1
22,0,1,14,8.567840576171875,1
22,0,1,15,8.697128295898438,1
23,0,1,0,8.71148681640625,1
23,0,1,1,8.567840576171875,1
23,0,1,2,8.567840576171875,1
23,0,1,3,8.697128295898438,1
23,0,1,4,8.955703735351562,1
23,0,1,5,8.73065185546875,1
23,0,1,6,8.706695556640625,1
23,0,1,7,8.725860595703125,1
23,0,1,8,8.692337036132812,1
23,0,1,9,8.6588134765625,1
23,0,1,10,8.682754516601562,1
23,0,1,11,8.687545776367188,1
23,0,1,12,8.66839599609375,1
23,0,1,13,8.692337036132812,1
23,0,1,14,8.71148681640625,1
23,0,1,15,8.692337036132812,1
24,0,1,0,8.66839599609375,1
24,0,1,1,8.692337036132812,1
24,0,1,2,8.71148681640625,1
24,0,1,3,8.692337036132812,1
24,0,1,4,8.73065185546875,1
24,0,1,5,8.745010375976562,1
24,0,1,6,8.697128295898438,1
24,0,1,7,8.792892456054688,1
24,0,1,8,8.807266235351562,1
24,0,1,9,8.677978515625,1
24,0,1,10,8.745010375976562,1
24,0,1,11,8.77374267578125,1
24,0,1,12,8.716278076171875,1
24,0,1,13,8.71148681640625,1
24,0,1,14,8.725860595703125,1
24,0,1,15,8.716278076171875,1
25,1,1,0,7.84478759765625,1
25,1,1,1,8.400238037109375,1
25,1,1,2,8.35235595703125,1
25,1,1,3,8.189559936523438,1
25,1,1,4,8.0028076171875,1
25,1,1,5,8.548690795898438,1
25,1,1,6,8.270965576171875,1
25,1,1,7,8.294906616210938,1
25,1,1,8,8.323623657226562,1
25,1,1,9,8.2996826171875,1
25,1,1,10,8.290115356445312,1
25,1,1,11,8.323623657226562,1
25,1,1,12,8.294906616210938,1
25,1,1,13,8.294906616210938,1
25,1,1,14,8.357147216796875,1
25,1,1,15,8.261383056640625,1
26,1,1,0,8.294906616210938,1
26,1,1,1,8.294906616210938,1
26,1,1,2,8.357147216796875,1
26,1,1,3,8.261383056640625,1
26,1,1,4,8.37152099609375,1
26,1,1,5,8.385879516601562,1
26,1,1,6,8.419403076171875,1
26,1,1,7,8.366729736328125,1
26,1,1,8,8.261383056640625,1
26,1,1,9,8.558258056640625,1
26,1,1,10,8.855148315429688,1
26,1,1,11,7.90704345703125,1
26,1,1,12,8.476852416992188,1
26,1,1,13,7.99322509765625,1
26,1,1,14,8.409820556640625,1
26,1,1,15,8.428970336914062,1
27,1,1,0,8.476852416992188,1
27,1,1,1,7.99322509765625,1
27,1,1,2,8.409820556640625,1
27,1,1,3,8.428970336914062,1
27,1,1,4,8.529525756835938,1
27,1,1,5,8.61572265625,1
27,1,1,6,8.11773681640625,1
27,1,1,7,8.323623657226562,1
27,1,1,8,8.175186157226562,1
27,1,1,9,8.089004516601562,1
27,1,1,10,8.304473876953125,1
27,1,1,11,8.46728515625,1
27,1,1,12,9.104141235351562,1
